id_endereco,logradouro,numero,complemento,bairro,cidade,estado,cep,pais
63,Esplanada Fonseca,52,Aut veritatis dolor impedit.,Vila Suzana Segunda Seção,Caldeira,RS,84815-731,Brasil
64,Trecho Castro,66,,Canadá,Brito da Prata,AM,87785-914,Brasil
65,Via Carvalho,8,,Vila São Paulo,Costela,PE,92144031,Brasil
66,Favela de Nunes,35,,Santo Agostinho,Correia da Praia,AP,94843-054,Brasil
67,Lagoa Barbosa,2,,Maria Helena,Caldeira de Minas,PA,58903-102,Brasil
68,Viela Novaes,761,,Varzea Da Palma,Albuquerque,PI,01013104,Brasil
69,Lago Diogo Aragão,4,Maiores aspernatur molestiae.,Vila Canto Do Sabiá,Pires dos Dourados,AL,69590305,Brasil
70,Área Souza,571,Voluptatum animi iste atque.,Itatiaia,Pastor da Prata,DF,63524489,Brasil
71,Esplanada Vargas,72,,Canadá,Macedo,TO,32364-839,Brasil
72,Favela Maria Sophia Caldeira,16,,São Damião,Gonçalves,RN,73334-909,Brasil
73,Parque Maya Nogueira,99,Eveniet accusantium natus.,Santa Margarida,Teixeira,TO,98812645,Brasil
74,Setor de Lima,35,Totam natus magnam quasi.,Leticia,Leão,GO,05865-679,Brasil
75,Viela Liz Albuquerque,87,Commodi error corporis animi.,Vila Betânia,Rodrigues,CE,72833415,Brasil
76,Via de Siqueira,67,,Vila Boa Vista,Câmara,BA,73439-670,Brasil
77,Praça Nunes,5,Cum doloremque ut id.,Taquaril,Novais do Oeste,CE,57983585,Brasil
78,Jardim Cassiano,819,Rem voluptate quae quia.,Cônego Pinheiro 1ª Seção,Pimenta,BA,88384066,Brasil
79,Trecho de Farias,79,,Aguas Claras,Novaes,PE,41228905,Brasil
80,Colônia da Cruz,56,Rem fuga esse laborum.,São Bernardo,Cardoso da Serra,MS,91094336,Brasil
81,Pátio de Ramos,4,,Padre Eustáquio,Cassiano Grande,AM,14479770,Brasil
82,Fazenda de Rocha,4,,Jaqueline,Borges,SP,36129-829,Brasil
83,Avenida Antônio Rezende,19,Possimus nam maxime fugit.,Fazendinha,Cavalcanti dos Dourados,AM,91486-408,Brasil
84,Loteamento Duarte,13,,Goiania,Câmara Alegre,BA,69703-466,Brasil
85,Praia de Siqueira,909,,Monte São José,Duarte,SC,03818-386,Brasil
86,Favela Martins,20,Cum error culpa a sed.,Nova America,Camargo de Porto,RR,58323-598,Brasil
87,Estação Jesus,47,,Ademar Maldonado,Jesus da Serra,RR,15847-876,Brasil
88,Chácara Camargo,75,,Vila Piratininga,Sá de Borges,SC,77033-220,Brasil
89,Travessa Pimenta,26,,Coqueiros,da Conceição Alegre,RR,13326-394,Brasil
90,Trevo de Cavalcante,19,Sequi nam eius.,Pongelupe,Vasconcelos de Azevedo,TO,00340703,Brasil
91,Aeroporto Fernandes,3,,Jardim Vitoria,da Rocha de Pinto,BA,15278574,Brasil
92,Viaduto de Cardoso,234,,Vila Santa Rosa,Brito,PA,79572000,Brasil
93,Jardim Almeida,29,Consequatur doloremque sint.,Flavio Marques Lisboa,Borges de Nunes,SC,09106492,Brasil
94,Trevo de da Conceição,68,,Vila Satélite,Pereira,PA,98071-145,Brasil
95,Trevo de Rocha,9,,Coração De Jesus,Sá,RR,95355-071,Brasil
96,Área Isabela Marques,49,,Vila Jardim Leblon,Pereira de Minas,SC,84021-798,Brasil
97,Parque de Lopes,62,,Lagoa,Jesus,AM,98732868,Brasil
98,Estrada Theo Vargas,87,,Funcionários,Leão Grande,ES,29689-712,Brasil
99,Lago de Garcia,80,,Santa Rita De Cássia,Teixeira,RJ,47338350,Brasil
100,Praia Rezende,91,,Castelo,Caldeira,SP,57756-952,Brasil
101,Jardim Theodoro Mendonça,88,,Jardim Guanabara,Fogaça,MG,11768-379,Brasil
102,Área Garcia,5,Vero dolor nemo.,Aarão Reis,Nascimento,RO,44082-423,Brasil
103,Sítio Arthur Gabriel Monteiro,11,Porro beatae porro quis iure.,João Paulo Ii,Carvalho do Norte,AC,70283550,Brasil
104,Quadra Vargas,23,Voluptatibus odio cum est.,Conjunto Serra Verde,Nunes,AC,19000-447,Brasil
105,Trecho da Costa,88,At nobis id voluptates.,Xangri-Lá,Pastor,AP,41752668,Brasil
106,Vila Lavínia Ribeiro,6,Magnam pariatur in.,Ipe,Fernandes,BA,57116094,Brasil
107,Colônia de Castro,5,Explicabo ullam ea.,Santo Agostinho,Sousa de Fogaça,SE,61784-456,Brasil
108,Condomínio de Cavalcanti,63,Ipsam maiores sapiente.,Monsenhor Messias,Ferreira,RN,42111-377,Brasil
109,Feira Jesus,73,,Taquaril,da Cruz,PB,83348-140,Brasil
110,Colônia Borges,86,,Barão Homem De Melo 2ª Seção,da Mota,RO,65621-752,Brasil
111,Morro Cardoso,55,,Alto Das Antenas,Pinto,AP,79560-273,Brasil
112,Largo da Paz,42,Iste ratione maxime sapiente.,Antonio Ribeiro De Abreu 1ª Seção,Castro,AC,67564553,Brasil
113,Área de Albuquerque,56,Beatae dolor nemo.,Pantanal,da Mota,AL,47285010,Brasil
114,Sítio de da Rosa,8,,Comiteco,das Neves,SC,62040-473,Brasil
115,Área Ribeiro,7,Deserunt tempora placeat.,Laranjeiras,Souza das Pedras,ES,12580-410,Brasil
116,Feira Pacheco,61,,Trevo,Rodrigues de Goiás,SE,24847-895,Brasil
117,Trevo Valentina das Neves,102,,Goiania,Leão,SE,51435-126,Brasil
118,Avenida Cunha,55,Ad error sapiente corporis.,Buraco Quente,da Rocha,MS,24744-406,Brasil
119,Aeroporto Clara Ramos,25,,Vila São Geraldo,da Paz,AP,57374-066,Brasil
120,Fazenda Cavalcante,41,Odio amet inventore.,Grajaú,da Mata das Flores,SP,10604-942,Brasil
121,Passarela Miguel Ribeiro,80,Debitis eaque perferendis a.,Petropolis,Campos,PE,26478828,Brasil
122,Morro Cecilia Fernandes,26,,Vila Satélite,Rodrigues Verde,RO,72767-166,Brasil
123,Ladeira Thomas Macedo,27,,Vila Maria,Lopes,RS,53809-062,Brasil
124,Rua de Ferreira,27,Eius eius quos laborum quis.,Novo Ouro Preto,Nogueira Alegre,AP,84139-583,Brasil
125,Vila de Sá,91,,Conjunto Providencia,Martins,SC,25361944,Brasil
126,Praça de Lima,777,,Prado,da Rosa,BA,08630425,Brasil
127,Distrito Rios,204,Nam odit voluptatem libero.,Santa Amelia,Albuquerque dos Dourados,PE,54112-406,Brasil
128,Lago de Fogaça,56,,Vila Jardim São José,Souza,AC,05140373,Brasil
129,Condomínio Benício Rocha,1,,Vila Madre Gertrudes 1ª Seção,da Mota,RJ,47844-696,Brasil
130,Lago de Souza,7,Quo ex voluptatem impedit.,Vila Pinho,Campos do Oeste,RS,69181198,Brasil
131,Favela de Câmara,2,,Vila Copacabana,Rios,MA,59704744,Brasil
132,Rodovia Lucas Gabriel Azevedo,836,Accusamus corporis tenetur.,Monte São José,Novais dos Dourados,MT,46391-562,Brasil
133,Viaduto de Fogaça,80,Ea quibusdam consectetur cum.,Rio Branco,Sá da Serra,AP,98410763,Brasil
134,Recanto de Costa,52,,Taquaril,Aragão,PE,90491585,Brasil
135,Residencial de Novais,55,Aspernatur et officia iste.,Santa Tereza,Sampaio,AP,71437291,Brasil
136,Rua Alícia Ribeiro,72,,Barreiro,da Cunha do Campo,SP,17727-592,Brasil
137,Residencial Mendonça,72,Quibusdam alias illum.,Teixeira Dias,Pimenta do Oeste,RJ,97437-322,Brasil
138,Distrito Santos,65,Praesentium nemo ducimus.,Nova Esperança,Barbosa do Norte,PE,52538-676,Brasil
139,Área Nascimento,43,,Minas Brasil,Carvalho,CE,64264605,Brasil
140,Praia João Miguel Machado,709,,Nova Granada,Azevedo,SC,99027881,Brasil
141,Lago de Silva,3,,João Pinheiro,Cunha,MG,12131-741,Brasil
142,Esplanada Ana Júlia Cavalcante,71,,Esperança,Fonseca de Goiás,PR,54814945,Brasil
143,Largo da Mata,6,Dicta occaecati hic quia aut.,Rio Branco,Vieira,AP,46778-735,Brasil
144,Estação de Porto,58,,Vila Jardim São José,Teixeira de da Cunha,GO,70258690,Brasil
145,Campo de da Paz,28,Magni unde voluptatem ad.,Paquetá,da Rocha da Praia,MA,13392504,Brasil
146,Feira Mariane Azevedo,31,,Guarani,Novaes da Prata,AL,15667346,Brasil
147,Alameda Olivia da Paz,969,,Indaiá,Ribeiro,AM,57264795,Brasil
148,Campo Pacheco,338,,Bela Vitoria,Peixoto Verde,RN,99457-673,Brasil
149,Estação Theodoro Pinto,30,,Conjunto Califórnia Ii,Barbosa,GO,08356-299,Brasil
150,Ladeira Maria Cecília da Cruz,18,Veniam nulla ab consequatur.,Distrito Industrial Do Jatoba,Silva,RR,79928251,Brasil
151,Estação de Sales,195,,Trevo,Albuquerque,SE,09156-602,Brasil
152,Sítio Montenegro,180,,Chácara Leonina,Teixeira dos Dourados,SE,37560-639,Brasil
153,Condomínio da Rosa,1,,Vila Maloca,Borges,CE,35025940,Brasil
154,Viaduto de Caldeira,8,,Horto,Dias,TO,46597776,Brasil
155,Área Correia,93,,Vila Petropolis,da Cruz da Praia,RR,76590-277,Brasil
156,Alameda Levi Fogaça,55,,Vila União,Viana de Pires,MA,77564-295,Brasil
157,Ladeira Montenegro,32,,Paraíso,Farias,PB,73197-347,Brasil
158,Núcleo de Rezende,63,,Vila Santo Antônio,Pacheco de Novaes,AP,96790189,Brasil
159,Colônia de Cavalcante,4,,Santo Agostinho,Gomes Paulista,DF,78319124,Brasil
160,Campo da Mata,24,,Vila Maloca,Nogueira,PE,96957279,Brasil
161,Loteamento Valentina Ramos,9,,Vila Santa Monica 1ª Seção,Campos das Flores,TO,54241937,Brasil
162,Vila de Martins,9,Doloremque culpa itaque odio.,Mala E Cuia,Novais da Serra,PB,31608344,Brasil
163,Fazenda Maria Alice Pimenta,32,,Lagoinha Leblon,Rezende do Oeste,DF,13714-728,Brasil
164,Passarela Barros,32,Saepe provident nam.,Novo Aarão Reis,Fogaça de Rodrigues,RO,41616-992,Brasil
165,Quadra Souza,1,Beatae similique suscipit.,Funcionários,Silveira de Cassiano,RJ,52213-060,Brasil
166,Fazenda Aparecida,7,Ab itaque animi non.,Santa Sofia,Garcia,GO,57401428,Brasil
167,Condomínio Lorena Fogaça,30,Sit fuga sit quibusdam.,Petropolis,Rodrigues das Flores,RS,02627012,Brasil
168,Condomínio Eloah Vieira,3,Eius rem temporibus possimus.,Aeroporto,Castro,RN,11243189,Brasil
169,Travessa Maria Luísa Moraes,7,Quia numquam dolores quos.,Xangri-Lá,da Rosa da Serra,AP,16520-643,Brasil
170,Alameda Emanuella Caldeira,60,,Barão Homem De Melo 1ª Seção,Caldeira,BA,22856-084,Brasil
171,Colônia Antonella Fernandes,322,,Palmeiras,Guerra,AM,46090-873,Brasil
172,Vila Moura,93,,Aparecida,Farias da Praia,SC,97553-414,Brasil
173,Campo Joana Fonseca,63,Ducimus corrupti esse unde.,Leticia,Aparecida,SC,39210959,Brasil
174,Trevo Alana Casa Grande,65,,Chácara Leonina,Peixoto,SE,58662-553,Brasil
175,Núcleo de Guerra,17,Ex at libero quidem quae.,Atila De Paiva,Martins,PB,96399-930,Brasil
176,Vereda de Teixeira,210,,Tupi B,Sampaio do Amparo,RO,77505501,Brasil
177,Avenida Natália Novais,8,,Atila De Paiva,da Conceição,PE,89692-598,Brasil
178,Vereda Ana Ramos,198,,São Jorge 2ª Seção,Peixoto,MT,62345-569,Brasil
179,Largo de Cavalcanti,58,,Alto Caiçaras,Moura de Minas,RN,48760-795,Brasil
180,Estação de Siqueira,85,,Universitário,da Luz,AM,19447-592,Brasil
181,Sítio Valentina Guerra,61,,Frei Leopoldo,Pereira das Flores,RJ,85444049,Brasil
182,Morro Rael Duarte,75,,Xodo-Marize,Garcia de Minas,RN,68306840,Brasil
183,Largo de Souza,25,,São Geraldo,Nogueira do Amparo,PI,99894189,Brasil
184,Rua de Alves,545,,Vitoria Da Conquista,Brito,TO,72623683,Brasil
185,Vila Vitor Hugo Sales,41,,Vila Canto Do Sabiá,da Paz da Prata,TO,57429378,Brasil
186,Via da Mota,89,Et fugiat illo harum fugiat.,Vila Piratininga,Lima do Norte,PB,69756173,Brasil
187,Condomínio Sophie Mendes,6,,Serra Verde,Abreu do Sul,RS,18612-440,Brasil
188,Aeroporto de Vieira,2,,Pompéia,Melo,DF,45382-174,Brasil
189,Sítio Silveira,3,,Tirol,Casa Grande,MS,72824-815,Brasil
190,Jardim de Sampaio,49,,Betânia,Siqueira,MT,91941-235,Brasil
191,Conjunto Mateus Andrade,451,,Savassi,Cardoso da Serra,PI,30774190,Brasil
192,Pátio das Neves,94,,Tupi A,Mendonça da Serra,RS,00922443,Brasil
193,Alameda Josué Brito,72,,Vista Alegre,Viana,ES,25831613,Brasil
194,Trecho Pimenta,53,,Suzana,Gomes,MA,53974939,Brasil
195,Quadra Marcelo Brito,13,Et culpa amet.,Conjunto Lagoa,Peixoto da Praia,RN,03496-871,Brasil
196,Lagoa Augusto Nunes,539,Pariatur praesentium ab vel.,Chácara Leonina,Barros,AL,70143186,Brasil
197,Vila Danilo Pimenta,3,,Vila Madre Gertrudes 4ª Seção,Gomes,RJ,45598-458,Brasil
198,Loteamento Mariana Fogaça,77,,Álvaro Camargos,Mendes do Galho,PR,97355360,Brasil
199,Viela de Novais,797,,Taquaril,Lopes,MA,62909247,Brasil
200,Feira de Pastor,43,,Corumbiara,Sá de da Costa,TO,01088-264,Brasil
201,Estação Jesus,40,,Santa Lúcia,Ferreira,PA,60581995,Brasil
202,Largo de Barros,61,,Fernão Dias,Garcia do Norte,PI,24815-504,Brasil
203,Praça Vargas,1,,Vila De Sá,Nogueira Grande,RN,76093905,Brasil
204,Estrada Fogaça,7,,Vila Ouro Minas,Azevedo,RR,76570672,Brasil
205,Ladeira de Castro,14,,São Cristóvão,da Rosa,DF,09050285,Brasil
206,Estrada de Moura,58,,Indaiá,Sampaio,AM,41882880,Brasil
207,Viela Cirino,29,,Vila Nova Gameleira 3ª Seção,Castro da Serra,CE,83421480,Brasil
208,Largo de Santos,44,,Embaúbas,Teixeira,PA,65067005,Brasil
209,Viela Pimenta,8,,Tres Marias,Aragão,AL,78959328,Brasil
210,Pátio de Ferreira,99,Delectus in non maxime.,Vila Tirol,Novais,MS,46384642,Brasil
211,Loteamento de Moraes,468,,Santa Sofia,Pinto das Flores,MS,01164025,Brasil
212,Travessa Júlia Souza,97,,Vila Nova Gameleira 3ª Seção,Cunha,BA,64930469,Brasil
213,Conjunto Lucas Aparecida,45,,Mangabeiras,Pereira da Praia,TO,39687-557,Brasil
214,Trevo Enzo Gabriel Porto,464,,Santo André,Rodrigues,SC,73417-318,Brasil
215,Praça Enrico Farias,20,Ducimus quae suscipit.,São Tomaz,Sales,MT,66195943,Brasil
216,Viela Sousa,9,,Vila Mantiqueira,da Cunha do Oeste,MA,81928-909,Brasil
217,Alameda de Barros,44,At quam doloribus cum.,Mineirão,da Mota,AP,71283-037,Brasil
218,Recanto Maria Eduarda Azevedo,10,,Graça,Silva,AC,28140-036,Brasil
219,Praia Raquel Oliveira,9,,Santa Cecilia,da Conceição,GO,01439675,Brasil
220,Trevo de Montenegro,89,,Universitário,da Mata de Goiás,ES,10443782,Brasil
221,Setor de Aparecida,79,Ratione modi repellat omnis.,Solar Do Barreiro,Lima do Oeste,GO,76285-019,Brasil
222,Parque Stella Peixoto,58,Quae id vero ipsam facere.,Laranjeiras,Lima do Norte,ES,73703523,Brasil
223,Recanto Rael Garcia,97,,Conjunto Califórnia I,Mendonça,BA,19623355,Brasil
224,Vila de Viana,9,Quo soluta corporis.,Vila Aeroporto Jaraguá,Alves das Pedras,MS,87816-674,Brasil
225,Vila Borges,158,,Monsenhor Messias,Carvalho,MT,13405-604,Brasil
226,Passarela de Cavalcanti,66,,Santa Lúcia,Sales,ES,91222-751,Brasil
227,Passarela Ribeiro,121,Soluta doloribus ex.,Guaratã,Alves de Campos,RR,15885301,Brasil
228,Residencial Viana,8,Aperiam itaque earum error.,Barreiro,Pinto da Mata,RN,38965-018,Brasil
229,Alameda de Macedo,40,,Jaqueline,Correia de Rezende,PI,97185-353,Brasil
230,Via Antonella Farias,57,,Castanheira,Dias,RN,95468-017,Brasil
231,Estrada de Ramos,2,,Vila Piratininga Venda Nova,Leão,RR,89617052,Brasil
232,Recanto de Mendonça,27,,Ademar Maldonado,Cardoso,PI,25813884,Brasil
233,Residencial Alexandre Marques,647,,Cônego Pinheiro 2ª Seção,Azevedo do Amparo,PE,06181455,Brasil
234,Avenida Manuela Gonçalves,612,,Ipiranga,Aragão do Amparo,RO,33983927,Brasil
235,Quadra Mendes,6,,Flamengo,Jesus,RJ,29475-058,Brasil
236,Residencial Eloah Vargas,785,,Dom Joaquim,Borges,SE,66490421,Brasil
237,Largo de Mendonça,5,,Alto Vera Cruz,da Rosa do Oeste,PA,48830-562,Brasil
238,Avenida Macedo,57,Voluptas itaque odit ipsam.,Manacas,Silveira de da Mata,PE,71808-093,Brasil
239,Avenida Pimenta,519,Doloribus a non officiis.,Colégio Batista,Cirino de Martins,SP,23205-421,Brasil
240,Morro Cassiano,31,Aspernatur nobis iste esse.,Barão Homem De Melo 2ª Seção,Andrade,RN,53191326,Brasil
241,Travessa de Garcia,77,,Manacas,Rodrigues,SC,86473-135,Brasil
242,Vila Ana Julia Gonçalves,24,,Atila De Paiva,Teixeira,PE,80803-496,Brasil
243,Rua de Campos,37,,Vila Santa Monica 1ª Seção,Câmara,PR,63476-350,Brasil
244,Lagoa Agatha da Rosa,8,,Lorena,Araújo,MA,05576-267,Brasil
245,Avenida Maria Flor Moura,62,Odio voluptate cupiditate.,Sagrada Família,Costela,DF,61981987,Brasil
246,Distrito Fogaça,47,Amet ex excepturi et.,Anchieta,da Cruz,SC,64515696,Brasil
247,Largo Rebeca Castro,58,Esse dicta nisi itaque.,Penha,Fogaça,RR,43063101,Brasil
248,Esplanada Vieira,915,,Vila São João Batista,Nogueira da Serra,AL,30839589,Brasil
249,Sítio Bryan Macedo,65,,Marieta 3ª Seção,Barbosa,PB,21841-364,Brasil
250,Praça de das Neves,7,Ducimus assumenda laborum.,São Jorge 2ª Seção,Araújo do Oeste,MT,50618-737,Brasil
251,Distrito Felipe Oliveira,48,,Conjunto Jardim Filadélfia,Correia,PB,57004-775,Brasil
252,Quadra Cunha,50,,Maria Tereza,Albuquerque de Campos,RO,40703-196,Brasil
253,Vale Fernandes,623,Quibusdam ipsa sit.,Zilah Sposito,Oliveira do Campo,PB,70061571,Brasil
254,Residencial de Sampaio,45,Quam id impedit explicabo.,Vila São Gabriel,Pinto,PI,12949-355,Brasil
255,Avenida Gael Novais,15,Iure neque ipsam.,Vila De Sá,Almeida,ES,11408-814,Brasil
256,Feira Nicolas Lopes,29,Nemo fuga harum.,Vila Nossa Senhora Do Rosário,Lopes das Pedras,PB,79273-008,Brasil
257,Alameda Gabriela Santos,4,,Bonfim,da Mata de Martins,PA,65042-416,Brasil
258,Sítio Fonseca,725,,Boa Esperança,Sales de da Mota,RN,70450-804,Brasil
259,Travessa Ester Cirino,937,,Barroca,Farias,RR,50624-184,Brasil
260,Campo Davi da Paz,47,Non amet et quisquam labore.,Graça,Fernandes das Flores,RR,25648-076,Brasil
261,Loteamento de Farias,31,,Paulo Vi,Oliveira,PB,38996-032,Brasil
262,Avenida de Carvalho,90,,Vila Madre Gertrudes 1ª Seção,Vasconcelos do Campo,RO,80088-723,Brasil
263,Alameda Benicio Campos,55,Voluptatibus et magni animi.,Jardim Felicidade,Pereira das Flores,MS,70464-831,Brasil
264,Condomínio Marques,33,Distinctio sequi quos.,Satelite,Carvalho de Novaes,RN,96281-445,Brasil
265,Jardim Maria Vitória Ribeiro,71,Cum illo aspernatur pariatur.,Embaúbas,Freitas do Amparo,RN,24992-980,Brasil
266,Campo de Monteiro,232,,Dona Clara,Costa,SE,61618-603,Brasil
267,Esplanada Diogo Cavalcanti,64,Accusantium optio sed.,Andiroba,Campos,MG,12756-790,Brasil
268,Área Pedro Miguel Carvalho,48,Cupiditate cum voluptate.,Pindura Saia,Ferreira,RO,01872-506,Brasil
269,Passarela João Felipe da Luz,10,,Independência,Nascimento,RS,48043-233,Brasil
270,Conjunto Lima,4,Minima nam porro.,Vila Jardim São José,da Paz,MS,38722240,Brasil
271,Alameda Caldeira,18,,Vila Nova Paraíso,Cirino,PI,24835956,Brasil
272,Avenida de Camargo,22,,Vila Trinta E Um De Março,Abreu de Marques,MA,89559919,Brasil
273,Sítio de Cirino,169,,Santa Rosa,da Cunha Alegre,PR,98170403,Brasil
274,Viaduto de Pimenta,59,Autem molestias maxime quae.,Alta Tensão 2ª Seção,Costela Verde,MG,02535-946,Brasil
275,Largo Nogueira,12,,Vila Paquetá,Pastor,RR,80720171,Brasil
276,Feira de Santos,88,,Vila União,Moura,GO,07564-168,Brasil
277,Alameda Arthur Miguel Alves,6,,Túnel De Ibirité,Cavalcanti,RR,41435-566,Brasil
278,Estação Lunna Ramos,5,Dolore illum corrupti dolor.,Flavio De Oliveira,Gomes,AC,81902344,Brasil
279,Recanto Novais,39,Deserunt ad placeat.,Vila Antena,Machado Grande,PB,80408322,Brasil
280,Ladeira de Sousa,2,,Horto,Cunha,AC,62073657,Brasil
281,Travessa de Carvalho,305,,Outro,Caldeira,RR,31377-416,Brasil
282,Morro de Caldeira,2,,Conjunto Capitão Eduardo,Ribeiro,PA,49154270,Brasil
283,Vale Cassiano,67,,São Benedito,Sales,CE,86678-036,Brasil
284,Estrada Almeida,45,,Boa Vista,Vasconcelos,PB,11719-524,Brasil
285,Via Brito,95,,Confisco,Moreira Alegre,GO,22711341,Brasil
286,Setor de Albuquerque,64,,Vila Antena,Lima,AC,10531209,Brasil
